agent_id,region,role,department,unit,assignment_start_date,assignment_end_date,detention_center_name,supervisor_id
1,Southeast,Agent,Homeland Security Investigations (HSI),Detention Management,2020-10-12,2024-08-27,Eloy Detention Center (AZ),379.0
2,Southeast,Analyst,Management & Administration,Fugitive Operations,2020-07-10,,Stewart Detention Center (GA),258.0
3,Southeast,Analyst,Homeland Security Investions (HSI),Intelligence,2021-03-27,2022-11-16,Port Isabel Detention Center (TX),3.0
4,West,Deputy Director,Homeland Security Investigations (HSI),Transportation and Removal Operations,2021-03-16,2023-03-05,Otay Mesa Detention Center (CA),52.0
5,Southeast,Deputy Director,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2023-05-21,,Aurora ICE Processing Center (CO),22.0
6,Mountain,Analyst,Enforcement and Removal Operations (ERO),Field Operations,2023-02-04,,Adelanto ICE Processing Center (CA),321.0
7,Southwest,Analyst,Homeland Security Investions (HSI),Fugitive Operations,2023-09-16,,Stewart Detention Center (GA),148.0
8,Southeast,Senior Agent,Enforcement and Removal Operations (ERO),Field Operations,2022-07-17,2024-09-01,Tacoma ICE Processing Center (WA),83.0
9,Southwest,Supervisor,Homeland Security Investions (HSI),Transportation and Removal Operations,2023-06-01,2026-06-28,Adelanto ICE Processing Center (CA),373.0
10,West,Senior Agent,Management & Administration,Field Operations,2023-08-03,2024-11-24,Tacoma ICE Processing Center (WA),350.0
11,Southwest,Agent,Homeland Security Investions (HSI),Fugitive Operations,2022-04-01,,Aurora ICE Processing Center (CO),108.0
12,Southwest,Senior Agent,Management & Administration,Field Operations,2020-10-19,,Krome Detention Center (FL),126.0
13,Southwest,Analyst,Management & Administration,Intelligence,2022-01-11,,Port Isabel Detention Center (TX),70.0
14,Mountain,Agent,Enforcement and Removal Operations (ERO),Fugitive Operations,2023-07-09,,Otay Mesa Detention Center (CA),348.0
15,Mountain,Analyst,Enforcement and Removal Operations (ERO),Field Operations,2023-05-05,2026-05-22,Port Isabel Detention Center (TX),128.0
16,Southeast,Agent,Office of Professional Responsibility,Transportation and Removal Operations,2020-08-16,,Aurora ICE Processing Center (CO),80.0
17,Mountain,Agent,Homeland Security Investigations (HSI),Intelligence,2022-11-05,2026-06-07,Otay Mesa Detention Center (CA),152.0
18,West,Senior Agent,Homeland Security Investigations (HSI),Detention Management,2024-05-13,2024-06-13,LaSalle ICE Processing Center (LA),306.0
19,Southwest,Deputy Director,Enforcement and Removal Operations (ERO),Fugitive Operations,2024-12-04,2026-09-24,Aurora ICE Processing Center (CO),122.0
